Time,Open,High,Low,Close,Volume
2019-07-20 15:00:00,98.85,100.16,98.69,100.09,9598.02589
2019-07-20 16:00:00,100.06,105.88,99.8,104.76,77176.62187
2019-07-20 17:00:00,104.76,105.12,102.25,102.68,39499.07889
2019-07-20 18:00:00,102.68,103.59,102.55,103.48,10466.28571
2019-07-20 19:00:00,103.48,103.67,102.62,103.4,9160.57578
2019-07-20 20:00:00,103.37,103.61,102.37,103.1,6863.63144
2019-07-20 21:00:00,103.07,103.97,102.73,103.8,5938.74069
2019-07-20 22:00:00,103.8,104.22,102.45,102.74,13386.83795
2019-07-20 23:00:00,102.75,103.33,99.77,100.25,28197.65007
2019-07-21 00:00:00,100.26,101.41,99.12,100.86,15873.17803
2019-07-21 01:00:00,100.82,101.18,100.51,101.02,4721.79583
2019-07-21 02:00:00,101.04,101.15,98.45,98.66,15381.03619
2019-07-21 03:00:00,98.71,98.74,96.56,98.12,25916.51273
2019-07-21 04:00:00,98.07,99.2,97.42,98.56,6156.67539
2019-07-21 05:00:00,98.59,98.61,97.68,98.11,5311.66115
2019-07-21 06:00:00,98.05,98.88,97.8,98.53,5498.34626
2019-07-21 07:00:00,98.52,99.17,98.37,98.66,4381.38845
2019-07-21 08:00:00,98.69,100.28,97.8,99.43,13178.56516
2019-07-21 09:00:00,99.46,100.97,99.42,99.86,7958.43828
2019-07-21 10:00:00,99.86,99.86,98.3,98.68,11023.77582
2019-07-21 11:00:00,98.68,100.29,98.37,99.15,10708.53073
2019-07-21 12:00:00,99.15,99.3,98.44,98.89,6543.04407
2019-07-21 13:00:00,98.89,98.94,97.61,98.31,13002.97941
2019-07-21 14:00:00,98.33,98.59,96.4,97.22,28660.25455
2019-07-21 15:00:00,97.22,98.42,96.48,98.17,8957.73189
2019-07-21 16:00:00,98.16,98.83,97.06,97.47,9971.75201
2019-07-21 17:00:00,97.47,97.8,96.74,97.6,7260.56808
2019-07-21 18:00:00,97.59,98.27,97.32,98.23,5140.93185
2019-07-21 19:00:00,98.24,98.38,97.23,97.8,7361.00656
2019-07-21 20:00:00,97.75,98.67,97.65,98.47,6841.75939
2019-07-21 21:00:00,98.47,99.6,98.3,99.12,7777.52713
2019-07-21 22:00:00,99.12,99.97,98.94,99.47,7719.47716
2019-07-21 23:00:00,99.46,100.84,99.27,99.7,11774.49527
2019-07-22 00:00:00,99.74,100.91,99.11,99.65,9199.87909
2019-07-22 01:00:00,99.69,100.07,98.87,99.66,3859.35688
2019-07-22 02:00:00,99.66,100.16,99.0,99.75,5045.56886
2019-07-22 03:00:00,99.75,99.83,99.16,99.24,4404.4104
2019-07-22 04:00:00,99.24,99.57,98.07,98.49,10253.85623
2019-07-22 05:00:00,98.49,99.3,98.06,99.24,3985.84042
2019-07-22 06:00:00,99.24,99.59,98.67,99.22,9907.76318
2019-07-22 07:00:00,99.22,99.63,99.01,99.56,6255.18388
2019-07-22 08:00:00,99.56,99.69,98.58,98.81,7419.96029
2019-07-22 09:00:00,98.81,98.81,94.96,96.07,37765.74553
2019-07-22 10:00:00,96.02,96.79,95.4,96.49,12081.73211
