Time,Open,High,Low,Close,Volume
2019-07-20 16:00:00,100.06,105.88,99.8,103.4,136302.56225
2019-07-20 20:00:00,103.37,104.22,99.77,100.25,54386.86015
2019-07-21 00:00:00,100.26,101.41,96.56,98.12,61892.52278
2019-07-21 04:00:00,98.07,99.2,97.42,98.66,21348.07125
2019-07-21 08:00:00,98.69,100.97,97.8,99.15,42869.30999
2019-07-21 12:00:00,99.15,99.3,96.4,98.17,57164.00992
2019-07-21 16:00:00,98.16,98.83,96.74,97.8,29734.2585
2019-07-21 20:00:00,97.75,100.84,97.65,99.7,34113.25895
2019-07-22 00:00:00,99.74,100.91,98.87,99.24,22509.21523
2019-07-22 04:00:00,99.24,99.63,98.06,99.56,30402.64371
2019-07-22 08:00:00,99.56,99.69,94.96,96.67,77257.80408
2019-07-22 12:00:00,96.69,96.85,91.14,92.74,104229.46227
2019-07-22 16:00:00,92.72,94.48,92.35,93.11,54077.05716
2019-07-22 20:00:00,93.04,95.75,92.88,95.31,30057.77769
2019-07-23 00:00:00,95.31,95.35,93.58,94.25,17294.3828
2019-07-23 04:00:00,94.25,94.28,90.5,91.34,57659.81834
2019-07-23 08:00:00,91.31,92.19,90.11,91.78,39308.79495
2019-07-23 12:00:00,91.78,91.97,88.62,89.86,57275.8604
2019-07-23 16:00:00,89.83,93.33,89.5,93.2,48409.93657
2019-07-23 20:00:00,93.18,94.47,89.58,90.15,44567.42268
2019-07-24 00:00:00,90.1,90.16,86.8,88.49,72089.05798
2019-07-24 04:00:00,88.5,89.92,88.07,89.25,31802.22787
2019-07-24 08:00:00,89.25,90.75,88.84,90.06,32660.48862
2019-07-24 12:00:00,90.06,97.45,90.05,97.09,88615.03753
2019-07-24 16:00:00,97.1,97.28,91.0,93.22,93595.31508
2019-07-24 20:00:00,93.22,95.3,92.3,94.5,37050.96122
2019-07-25 00:00:00,94.43,96.67,93.6,95.28,46866.02983
2019-07-25 04:00:00,95.26,95.44,92.76,94.04,36632.44593
2019-07-25 08:00:00,94.04,95.49,93.79,95.26,26387.29323
2019-07-25 12:00:00,95.29,96.17,93.02,94.15,47468.85341
2019-07-25 16:00:00,94.21,95.54,92.15,92.65,40765.56882
2019-07-25 20:00:00,92.67,93.71,91.06,93.22,30283.29257
2019-07-26 00:00:00,93.23,93.24,90.8,91.75,40530.64593
2019-07-26 04:00:00,91.75,92.52,89.83,92.34,32072.72336
2019-07-26 08:00:00,92.36,94.2,91.86,93.55,26216.40789
2019-07-26 12:00:00,93.5,93.8,92.0,93.13,21895.84962
2019-07-26 16:00:00,93.12,94.52,92.43,93.93,34217.42413
2019-07-26 20:00:00,93.96,94.37,93.5,94.06,14287.2694
2019-07-27 00:00:00,94.01,96.09,93.64,94.04,37102.19449
